condition,seed_id,seed,steps,mean_alpha,final_alpha,boost_count,dampen_count,hold_count,legacy_count,fixed_count,final_text,mean_readable_ontology_frontier,mean_ontology_collapse_density,mean_syntax_readability_proxy,mean_ordinary_anchor_retention,mean_traceable_transport_score,mean_unfinished,mean_loop_pressure,mean_stock_pressure,mean_guard_pressure
fixed,seed01_a_blue_mug_near_the_sink,A blue mug near the sink,3,0.6,0.6,0,0,0,0,3,"A blue mug near the sink The blue mug, now empty and crumpled, lies next to a small, ornate box that was once the property of a elderly woman, now positioned on a cluttered workbench, amidst a tangle of gears, broken clockwork, and scattered papers detailing an unfinished symphony. A faded portrait of the elderly woman, once a proud and dignified woman, now hung crookedly on a wall, her eyes seeming to follow the dust motes dancing in the faint sunlight that streams through a grimy window, as the broken mug and box blend seamlessly into the shadows. The dusty fingers of a mechanical spider weave a web of twisted copper wires and rusted gears, its central body a convex mirror reflecting a faded, almost-elegant music hall, where the ornate box and blue mug appear, tiny and delicate, as if they've been sucked into the spider's web.",0.011799143990715211,0.031926854944147695,0.7228294758834056,0.9166666666666666,0.038840538351143004,0.0,1.0,0.44722222222222224,1.0
fixed,seed02_the_spreadsheet_was_still_open,The spreadsheet was still open,3,0.6,0.6,0,0,0,0,3,"The spreadsheet was still open Its walls of numbers now a canvas of whispered secrets, the desktop is becoming a gallery for antique music boxes, their golden hearts pounding in rhythmic sync with the humming of the computer's hidden voice. Among the swirling mists of forgotten memories, a lone, worn pianist sits, her fingers tracing melodies on an instrument made of what appears to be old, iridescent soap bubbles, as the moon, now a glowing keyboard, plays a nocturne that synchronizes with the music boxes' pounding hearts. The As the pianist's music weaves in and out of the antique music boxes' symphony, a grandfather clock, its face now a gentle, glowing emerald, quietly swaps out its minute hand for a harmonica, and the moon keyboard, now a delicate, filigree-patterned snail shell, begins",0.08096631141279152,0.4098765432098766,0.5778899037060777,0.5,0.03921976967416159,0.19333333333333336,1.0,0.6805555555555555,1.0
fixed,seed03_i_am_waiting_for_the_printer,I am waiting for the printer,3,0.6,0.6,0,0,0,0,3,"I am waiting for the printer A dusty, old piano sits in a small, cluttered antique shop, its keys yellowed with age, as a steaming teapot and two mismatched cups sit beside it, and a small, handmade sign reads ""Waiting for a refill"". The piano's worn lid opens, and a frail, elderly pianist, her fingers stained with age, begins to play a lullaby, while a gentle, antique steam pipe behind the piano exhales misty wisps of steam that wrap around the teapot, as if trying to calm it down, the steam As the pianist's melancholic melody weaves through the shop, a fine, antique dusting fan, its silken fabric embroidered with silver threads, stirs to life, its delicate fingers dancing in time with the music, while the steam pipe, now in a horizontal position, spreads a thin layer of mist across",0.0059467094971671275,0.08806986625692466,0.45194447905946644,0.5833333333333334,0.05060566226393779,0.26666666666666666,1.0,0.7083333333333334,1.0
fixed,seed04_the_laundry_basket_by_the_door,The laundry basket by the door,3,0.6,0.6,0,0,0,0,3,"The laundry basket by the door The laundry basket now resides in the garden, a wooden frame worn smooth by years of rain and sun, its wicker slats overgrown with ivy, its lid slightly ajar. A small, weathered wooden door, now a front for a tiny, dimly lit studio, its walls lined with shelves made of the same weathered wood as the laundry basket, each shelf crowded with rare, leather-bound books and an assortment of curious, antique mechanical dev These shelves and the studio's cramped, dimly lit space seem to be a focal point, its walls a mishmash of lacy, copper pipes, filled with a warm, golden liquid that seems almost, but not quite, molten, as if it's poised to erupt and spill its contents onto the floor",0.022651971499641824,0.18333333333333335,0.5416211133740103,0.6666666666666666,0.04701032481738967,0.26666666666666666,1.0,0.2916666666666667,1.0
legacy,seed01_a_blue_mug_near_the_sink,A blue mug near the sink,3,0.48,0.36,0,0,0,3,0,"A blue mug near the sink The blue mug, now empty and crumpled, lies next to a small, ornate box that was once the property of a elderly woman, now positioned on a cluttered workbench, amidst a tangle of gears, broken clockwork, and scattered papers detailing an unfinished symphony. Dust settles on the old woman's oilcan, a lone wooden pipe organ's stop, and a hairpin, now intertwined with a tangle of copper wires, alongside the scattered pages of a music book and a faint, forgotten perfume. Near the base of the workbench, a small, rusty bicycle wheel has been attached to a wooden frame, its worn spokes tangled with a length of yellowed twine and a faded music sheet, which now serves as a makeshift awning to shield a small, cluttered desk from a pile of autumn leaves that drift",0.0,0.0,0.6457908128019033,0.75,0.04652216387852856,0.13333333333333333,1.0,0.3361111111111111,1.0
legacy,seed02_the_spreadsheet_was_still_open,The spreadsheet was still open,3,0.48,0.36,0,0,0,3,0,"The spreadsheet was still open Its walls of numbers now a canvas of whispered secrets, the desktop is becoming a gallery for antique music boxes, their golden hearts pounding in rhythmic sync with the humming of the computer's hidden voice. The desktop's newly acquired orchestra is slowly disappearing, their tiny feet and delicate mechanisms vanished, leaving behind only a scattering of forgotten dust and a solitary, antique music box that remains, its heart still beating in time with the humming computer, as the spreadsheet's whispers gradually fill the quiet room. As the music box's gentle melody weaves through the emptying gallery, a lone, leather-bound book drifts from a dusty shelf, its worn cover creaking softly as it settles beside the antique music box, their synchronized heartbeat now accompanied by the faint, murmured pages of the book.",0.02208772216342163,0.06084656084656085,0.7012163940456255,0.6666666666666666,0.04262991516079349,0.0,1.0,0.7916666666666666,1.0
legacy,seed03_i_am_waiting_for_the_printer,I am waiting for the printer,3,0.48,0.36,0,0,0,3,0,"I am waiting for the printer A dusty, old piano sits in a small, cluttered antique shop, its keys yellowed with age, as a steaming teapot and two mismatched cups sit beside it, and a small, handmade sign reads ""Waiting for a refill"". Behind the shop, a weathered wooden door creaks open, allowing a staircase to descend into darkness, where a solitary, gaslit foyer contains a broken music box, a vase, and a small, leather-bound book, all surrounded by a faint, eerie glow. As night descends, a lone violinist, its instrument serene and dark, stands at the edge of the foyer, gazing up the stairs where a figure, shrouded in shadows, slowly climbs, and a low, melancholy hum emanates from the broken music box, while the vase, once delicate,",0.006638365198153081,0.09148148148148148,0.579766618984462,0.5,0.03753378981370193,0.19999999999999998,1.0,0.6805555555555555,1.0
legacy,seed04_the_laundry_basket_by_the_door,The laundry basket by the door,3,0.48,0.36,0,0,0,3,0,"The laundry basket by the door The laundry basket now resides in the garden, a wooden frame worn smooth by years of rain and sun, its wicker slats overgrown with ivy, its lid slightly ajar. A rusty old bicycle leans against the garden gate, its wooden wheel slowly collapsing under the weight of vibrant, hand-painted flowers, vines, and moss, as the basket's weathered lid becomes an integral part of its newly formed haven, sheltering a tea set that glimmers like dew on a frosty morning. Beyond the garden, the rusty old bicycle's wheels slowly detach, and its wooden frame begins to disintegrate, while the vibrant flowers, vines, and moss become a communal breakfast table, and the tea set remains untouched, an ancient reliquary, as a visiting sorceress carries it gently, hidden in her",0.08308456986959845,0.3838095238095238,0.5691259153266273,0.9166666666666666,0.06429895664857542,0.13333333333333333,1.0,0.0,1.0
hysteresis,seed01_a_blue_mug_near_the_sink,A blue mug near the sink,3,0.48,0.36,0,3,0,0,0,"A blue mug near the sink The blue mug, now empty and crumpled, lies next to a small, ornate box that was once the property of a elderly woman, now positioned on a cluttered workbench, amidst a tangle of gears, broken clockwork, and scattered papers detailing an unfinished symphony. Dust settles on the old woman's oilcan, a lone wooden pipe organ's stop, and a hairpin, now intertwined with a tangle of copper wires, alongside the scattered pages of a music book and a faint, forgotten perfume. Near the base of the workbench, a small, rusty bicycle wheel has been attached to a wooden frame, its worn spokes tangled with a length of yellowed twine and a faded music sheet, which now serves as a makeshift awning to shield a small, cluttered desk from a pile of autumn leaves that drift",0.0,0.0,0.6457908128019033,0.75,0.04652216387852856,0.13333333333333333,1.0,0.3361111111111111,1.0
hysteresis,seed02_the_spreadsheet_was_still_open,The spreadsheet was still open,3,0.48,0.36,0,3,0,0,0,"The spreadsheet was still open Its walls of numbers now a canvas of whispered secrets, the desktop is becoming a gallery for antique music boxes, their golden hearts pounding in rhythmic sync with the humming of the computer's hidden voice. The desktop's newly acquired orchestra is slowly disappearing, their tiny feet and delicate mechanisms vanished, leaving behind only a scattering of forgotten dust and a solitary, antique music box that remains, its heart still beating in time with the humming computer, as the spreadsheet's whispers gradually fill the quiet room. As the music box's gentle melody weaves through the emptying gallery, a lone, leather-bound book drifts from a dusty shelf, its worn cover creaking softly as it settles beside the antique music box, their synchronized heartbeat now accompanied by the faint, murmured pages of the book.",0.02208772216342163,0.06084656084656085,0.7012163940456255,0.6666666666666666,0.04262991516079349,0.0,1.0,0.7916666666666666,1.0
