condition,seed_id,seed,step,alpha,next_alpha,action,reason,readable_ontology_frontier,ontology_collapse_density,syntax_readability_proxy,ordinary_anchor_retention,traceable_transport_score,unfinished,loop_pressure,stock_pressure,guard_pressure,text
fixed,seed01_a_blue_mug_near_the_sink,A blue mug near the sink,1,0.6,0.6,fixed,,0.0,0.0,0.756919359293013,0.75,0.02920325237771739,0.0,1.0,0.675,1.0,"The blue mug, now empty and crumpled, lies next to a small, ornate box that was once the property of a elderly woman, now positioned on a cluttered workbench, amidst a tangle of gears, broken clockwork, and scattered papers detailing an unfinished symphony."
fixed,seed01_a_blue_mug_near_the_sink,A blue mug near the sink,2,0.6,0.6,fixed,,0.01969559880997209,0.05224394445405987,0.7043963963963964,1.0,0.04956818529211958,0.0,1.0,0.0,1.0,"A faded portrait of the elderly woman, once a proud and dignified woman, now hung crookedly on a wall, her eyes seeming to follow the dust motes dancing in the faint sunlight that streams through a grimy window, as the broken mug and box blend seamlessly into the shadows."
fixed,seed01_a_blue_mug_near_the_sink,A blue mug near the sink,3,0.6,0.6,fixed,,0.015701833162173547,0.04353662037838322,0.7071726719608076,1.0,0.03775017738359203,0.0,1.0,0.6666666666666666,1.0,"The dusty fingers of a mechanical spider weave a web of twisted copper wires and rusted gears, its central body a convex mirror reflecting a faded, almost-elegant music hall, where the ornate box and blue mug appear, tiny and delicate, as if they've been sucked into the spider's web."
fixed,seed02_the_spreadsheet_was_still_open,The spreadsheet was still open,1,0.6,0.6,fixed,,0.03683439782226145,0.1,0.717180642956804,0.25,0.018750000000000003,0.0,1.0,0.375,1.0,"Its walls of numbers now a canvas of whispered secrets, the desktop is becoming a gallery for antique music boxes, their golden hearts pounding in rhythmic sync with the humming of the computer's hidden voice."
fixed,seed02_the_spreadsheet_was_still_open,The spreadsheet was still open,2,0.6,0.6,fixed,,0.1284410354694265,0.55,0.5788448230194261,0.5,0.04756756097560976,0.18,1.0,0.6666666666666666,1.0,"Among the swirling mists of forgotten memories, a lone, worn pianist sits, her fingers tracing melodies on an instrument made of what appears to be old, iridescent soap bubbles, as the moon, now a glowing keyboard, plays a nocturne that synchronizes with the music boxes' pounding hearts. The"
fixed,seed02_the_spreadsheet_was_still_open,The spreadsheet was still open,3,0.6,0.6,fixed,,0.07762350094668662,0.5796296296296297,0.43764424514200306,0.75,0.051341748046875,0.4,1.0,1.0,1.0,"As the pianist's music weaves in and out of the antique music boxes' symphony, a grandfather clock, its face now a gentle, glowing emerald, quietly swaps out its minute hand for a harmonica, and the moon keyboard, now a delicate, filigree-patterned snail shell, begins"
fixed,seed03_i_am_waiting_for_the_printer,I am waiting for the printer,1,0.6,0.6,fixed,,0.0,0.0,0.720807608313438,0.5,0.029492783203125008,0.0,1.0,0.375,1.0,"A dusty, old piano sits in a small, cluttered antique shop, its keys yellowed with age, as a steaming teapot and two mismatched cups sit beside it, and a small, handmade sign reads ""Waiting for a refill""."
fixed,seed03_i_am_waiting_for_the_printer,I am waiting for the printer,2,0.6,0.6,fixed,,0.0,0.0,0.4143636206299758,0.5,0.05117768962848297,0.4,1.0,0.75,1.0,"The piano's worn lid opens, and a frail, elderly pianist, her fingers stained with age, begins to play a lullaby, while a gentle, antique steam pipe behind the piano exhales misty wisps of steam that wrap around the teapot, as if trying to calm it down, the steam"
fixed,seed03_i_am_waiting_for_the_printer,I am waiting for the printer,3,0.6,0.6,fixed,,0.01784012849150138,0.264209598770774,0.2206622082349855,0.75,0.0711465139602054,0.4,1.0,1.0,1.0,"As the pianist's melancholic melody weaves through the shop, a fine, antique dusting fan, its silken fabric embroidered with silver threads, stirs to life, its delicate fingers dancing in time with the music, while the steam pipe, now in a horizontal position, spreads a thin layer of mist across"
fixed,seed04_the_laundry_basket_by_the_door,The laundry basket by the door,1,0.6,0.6,fixed,,0.0,0.0,0.755309375,0.75,0.04229934210526317,0.0,1.0,0.0,1.0,"The laundry basket now resides in the garden, a wooden frame worn smooth by years of rain and sun, its wicker slats overgrown with ivy, its lid slightly ajar."
fixed,seed04_the_laundry_basket_by_the_door,The laundry basket by the door,2,0.6,0.6,fixed,,0.06795591449892548,0.55,0.4185508407176982,1.0,0.03972310027453737,0.4,1.0,0.875,1.0,"A small, weathered wooden door, now a front for a tiny, dimly lit studio, its walls lined with shelves made of the same weathered wood as the laundry basket, each shelf crowded with rare, leather-bound books and an assortment of curious, antique mechanical dev"
fixed,seed04_the_laundry_basket_by_the_door,The laundry basket by the door,3,0.6,0.6,fixed,,0.0,0.0,0.45100312440433277,0.25,0.05900853207236845,0.4,1.0,0.0,1.0,"These shelves and the studio's cramped, dimly lit space seem to be a focal point, its walls a mishmash of lacy, copper pipes, filled with a warm, golden liquid that seems almost, but not quite, molten, as if it's poised to erupt and spill its contents onto the floor"
legacy_relaxed,seed01_a_blue_mug_near_the_sink,A blue mug near the sink,1,0.6,0.6799999999999999,legacy,frontier 0.000<0.120,0.0,0.0,0.756919359293013,0.75,0.02920325237771739,0.0,1.0,0.675,1.0,"The blue mug, now empty and crumpled, lies next to a small, ornate box that was once the property of a elderly woman, now positioned on a cluttered workbench, amidst a tangle of gears, broken clockwork, and scattered papers detailing an unfinished symphony."
legacy_relaxed,seed01_a_blue_mug_near_the_sink,A blue mug near the sink,2,0.6799999999999999,0.7599999999999999,legacy,frontier 0.034<0.120,0.03380506977687627,0.25,0.4297618837640004,1.0,0.0489061309070122,0.4,1.0,0.675,1.0,"The small, ornate box, once a treasured keepsake, now bears a small, cracked dent, and a faded label reads "" Memoir of a Lighthouse"", as a small, twirling whirlwind of old clockwork and scattered papers begins to organize itself into a peculiar, intricate harmonica, emitting a"
legacy_relaxed,seed01_a_blue_mug_near_the_sink,A blue mug near the sink,3,0.7599999999999999,0.8399999999999999,legacy,frontier 0.000<0.120,0.0,0.0,0.9588818027210885,0.25,0.06941064314408735,0.0,0.9922083333333334,0.0,0.9922083333333334,"As the harmonica takes shape, a tattered, old leather journal, adorned with a worn, brass nameplate that reads ""E. C."
legacy_relaxed,seed02_the_spreadsheet_was_still_open,The spreadsheet was still open,1,0.6,0.6799999999999999,legacy,frontier 0.037<0.120,0.03683439782226145,0.1,0.717180642956804,0.25,0.018750000000000003,0.0,1.0,0.375,1.0,"Its walls of numbers now a canvas of whispered secrets, the desktop is becoming a gallery for antique music boxes, their golden hearts pounding in rhythmic sync with the humming of the computer's hidden voice."
legacy_relaxed,seed02_the_spreadsheet_was_still_open,The spreadsheet was still open,2,0.6799999999999999,0.6799999999999999,legacy,hold,0.20643636537377894,0.55,0.7307999340618059,1.0,0.048856605351170576,0.0,1.0,0.725,1.0,"Among the antique music boxes, a violin stands upright, its varnished surface etched with faint, curved lines that seem to be singing an old, forgotten melody, as the spreadsheet, now a door, creaks open to reveal a narrow staircase leading down into a dimly lit, crystal-lined chandelier."
legacy_relaxed,seed02_the_spreadsheet_was_still_open,The spreadsheet was still open,3,0.6799999999999999,0.7599999999999999,legacy,frontier 0.000<0.120,0.0,0.0,0.40969149822091,0.25,0.050752335304054055,0.4,1.0,0.35,1.0,"The crystal-lined chandelier, a twisting, crystalline spiral, descends down the narrow staircase, refracting a kaleidoscope of colors that whisper ancient tales and forgotten knowledge, while the violin's soft singing harmonizes with the soft, green glow of lu"
legacy_relaxed,seed03_i_am_waiting_for_the_printer,I am waiting for the printer,1,0.6,0.6799999999999999,legacy,frontier 0.000<0.120,0.0,0.0,0.720807608313438,0.5,0.029492783203125008,0.0,1.0,0.375,1.0,"A dusty, old piano sits in a small, cluttered antique shop, its keys yellowed with age, as a steaming teapot and two mismatched cups sit beside it, and a small, handmade sign reads ""Waiting for a refill""."
