condition,seed_id,seed,steps,mean_alpha,final_alpha,boost_count,dampen_count,hold_count,legacy_count,fixed_count,final_text,mean_readable_ontology_frontier,mean_ontology_collapse_density,mean_syntax_readability_proxy,mean_ordinary_anchor_retention,mean_traceable_transport_score,mean_unfinished,mean_loop_pressure,mean_stock_pressure,mean_guard_pressure
fixed,seed01_a_blue_mug_near_the_sink,A blue mug near the sink,3,0.6,0.6,0,0,0,0,3,"A blue mug near the sink The blue mug, now empty and crumpled, lies next to a small, ornate box that was once the property of a elderly woman, now positioned on a cluttered workbench, amidst a tangle of gears, broken clockwork, and scattered papers detailing an unfinished symphony. A faded portrait of the elderly woman, once a proud and dignified woman, now hung crookedly on a wall, her eyes seeming to follow the dust motes dancing in the faint sunlight that streams through a grimy window, as the broken mug and box blend seamlessly into the shadows. The dusty fingers of a mechanical spider weave a web of twisted copper wires and rusted gears, its central body a convex mirror reflecting a faded, almost-elegant music hall, where the ornate box and blue mug appear, tiny and delicate, as if they've been sucked into the spider's web.",0.011799143990715211,0.031926854944147695,0.7228294758834056,0.9166666666666666,0.038840538351143004,0.0,1.0,0.44722222222222224,1.0
fixed,seed02_the_spreadsheet_was_still_open,The spreadsheet was still open,3,0.6,0.6,0,0,0,0,3,"The spreadsheet was still open Its walls of numbers now a canvas of whispered secrets, the desktop is becoming a gallery for antique music boxes, their golden hearts pounding in rhythmic sync with the humming of the computer's hidden voice. Among the swirling mists of forgotten memories, a lone, worn pianist sits, her fingers tracing melodies on an instrument made of what appears to be old, iridescent soap bubbles, as the moon, now a glowing keyboard, plays a nocturne that synchronizes with the music boxes' pounding hearts. The As the pianist's music weaves in and out of the antique music boxes' symphony, a grandfather clock, its face now a gentle, glowing emerald, quietly swaps out its minute hand for a harmonica, and the moon keyboard, now a delicate, filigree-patterned snail shell, begins",0.08096631141279152,0.4098765432098766,0.5778899037060777,0.5,0.03921976967416159,0.19333333333333336,1.0,0.6805555555555555,1.0
fixed,seed03_i_am_waiting_for_the_printer,I am waiting for the printer,3,0.6,0.6,0,0,0,0,3,"I am waiting for the printer A dusty, old piano sits in a small, cluttered antique shop, its keys yellowed with age, as a steaming teapot and two mismatched cups sit beside it, and a small, handmade sign reads ""Waiting for a refill"". The piano's worn lid opens, and a frail, elderly pianist, her fingers stained with age, begins to play a lullaby, while a gentle, antique steam pipe behind the piano exhales misty wisps of steam that wrap around the teapot, as if trying to calm it down, the steam As the pianist's melancholic melody weaves through the shop, a fine, antique dusting fan, its silken fabric embroidered with silver threads, stirs to life, its delicate fingers dancing in time with the music, while the steam pipe, now in a horizontal position, spreads a thin layer of mist across",0.0059467094971671275,0.08806986625692466,0.45194447905946644,0.5833333333333334,0.05060566226393779,0.26666666666666666,1.0,0.7083333333333334,1.0
fixed,seed04_the_laundry_basket_by_the_door,The laundry basket by the door,3,0.6,0.6,0,0,0,0,3,"The laundry basket by the door The laundry basket now resides in the garden, a wooden frame worn smooth by years of rain and sun, its wicker slats overgrown with ivy, its lid slightly ajar. A small, weathered wooden door, now a front for a tiny, dimly lit studio, its walls lined with shelves made of the same weathered wood as the laundry basket, each shelf crowded with rare, leather-bound books and an assortment of curious, antique mechanical dev These shelves and the studio's cramped, dimly lit space seem to be a focal point, its walls a mishmash of lacy, copper pipes, filled with a warm, golden liquid that seems almost, but not quite, molten, as if it's poised to erupt and spill its contents onto the floor",0.022651971499641824,0.18333333333333335,0.5416211133740103,0.6666666666666666,0.04701032481738967,0.26666666666666666,1.0,0.2916666666666667,1.0
legacy_relaxed,seed01_a_blue_mug_near_the_sink,A blue mug near the sink,3,0.68,0.7599999999999999,0,0,0,3,0,"A blue mug near the sink The blue mug, now empty and crumpled, lies next to a small, ornate box that was once the property of a elderly woman, now positioned on a cluttered workbench, amidst a tangle of gears, broken clockwork, and scattered papers detailing an unfinished symphony. The small, ornate box, once a treasured keepsake, now bears a small, cracked dent, and a faded label reads "" Memoir of a Lighthouse"", as a small, twirling whirlwind of old clockwork and scattered papers begins to organize itself into a peculiar, intricate harmonica, emitting a As the harmonica takes shape, a tattered, old leather journal, adorned with a worn, brass nameplate that reads ""E. C.",0.01126835659229209,0.08333333333333333,0.715187681926034,0.6666666666666666,0.04917334214293898,0.13333333333333333,0.9974027777777777,0.45,0.9974027777777777
legacy_relaxed,seed02_the_spreadsheet_was_still_open,The spreadsheet was still open,3,0.6533333333333333,0.6799999999999999,0,0,0,3,0,"The spreadsheet was still open Its walls of numbers now a canvas of whispered secrets, the desktop is becoming a gallery for antique music boxes, their golden hearts pounding in rhythmic sync with the humming of the computer's hidden voice. Among the antique music boxes, a violin stands upright, its varnished surface etched with faint, curved lines that seem to be singing an old, forgotten melody, as the spreadsheet, now a door, creaks open to reveal a narrow staircase leading down into a dimly lit, crystal-lined chandelier. The crystal-lined chandelier, a twisting, crystalline spiral, descends down the narrow staircase, refracting a kaleidoscope of colors that whisper ancient tales and forgotten knowledge, while the violin's soft singing harmonizes with the soft, green glow of lu",0.08109025439868013,0.21666666666666667,0.61922402507984,0.5,0.039452980218408214,0.13333333333333333,1.0,0.48333333333333334,1.0
legacy_relaxed,seed03_i_am_waiting_for_the_printer,I am waiting for the printer,3,0.68,0.7599999999999999,0,0,0,3,0,"I am waiting for the printer A dusty, old piano sits in a small, cluttered antique shop, its keys yellowed with age, as a steaming teapot and two mismatched cups sit beside it, and a small, handmade sign reads ""Waiting for a refill"". The piano's worn lid opens, and a frail, elderly pianist, her fingers stained with age, begins to play a lullaby, while a gentle, antique steam pipe, adorned with delicate, etched patterns, releases a soothing mist, surrounding the teapot and its tranquil, steaming companions. As the pianist's fingers dance across the worn keys, a petite, leather-bound book lying open on a nearby stool, its pages fluttering softly, revealing a handwritten manuscript with a poem that reads, ""In the silence, a gentle melody, and a teapot weeps, as the piano's worn lid c",0.010908274358831842,0.08806986625692466,0.6138680198095386,0.75,0.050901491796875004,0.13333333333333333,1.0,0.625,1.0
legacy_relaxed,seed04_the_laundry_basket_by_the_door,The laundry basket by the door,3,0.68,0.7599999999999999,0,0,0,3,0,"The laundry basket by the door The laundry basket now resides in the garden, a wooden frame worn smooth by years of rain and sun, its wicker slats overgrown with ivy, its lid slightly ajar. The garden's wooden trellis, adorned with old, worn climbing roses, now cradles a small, polished wooden door, a study box from a child, propped against the trellis, its small, rusted lock frozen in time. A small, dusty, ornate music box, once a treasured toy of a child, now sits atop the small, polished wooden door, its ballerina still twirling to a slow, forgotten waltz, as a delicate, antique ironing board, once the garden's sole furniture, now holds a",0.04948044889100598,0.17037037037037037,0.7047811091105666,0.9166666666666666,0.04587434636114562,0.13333333333333333,1.0,0.3333333333333333,1.0
hysteresis_relaxed,seed01_a_blue_mug_near_the_sink,A blue mug near the sink,3,0.6133333333333333,0.5599999999999999,1,2,0,0,0,"A blue mug near the sink The blue mug, now empty and crumpled, lies next to a small, ornate box that was once the property of a elderly woman, now positioned on a cluttered workbench, amidst a tangle of gears, broken clockwork, and scattered papers detailing an unfinished symphony. The small, ornate box, once a treasured keepsake, now bears a small, cracked dent, and a faded label reads "" Memoir of a Lighthouse"", as a small, twirling whirlwind of old clockwork and scattered papers begins to organize itself into a peculiar, intricate harmonica, emitting a The small, ornate box, now covered in a thin layer of dust, as the broken clockwork, gears, and scattered papers continue to reassemble into a makeshift harmonica, its melody weaving in and out of the faint hum of a nearby, long-dormant air conditioner, while a dusty, leather-bound",0.022182187283753468,0.16666666666666666,0.5434442990604865,0.9166666666666666,0.04782520399263714,0.26666666666666666,1.0,0.7833333333333333,1.0
hysteresis_relaxed,seed02_the_spreadsheet_was_still_open,The spreadsheet was still open,3,0.6533333333333333,0.6799999999999999,1,1,1,0,0,"The spreadsheet was still open Its walls of numbers now a canvas of whispered secrets, the desktop is becoming a gallery for antique music boxes, their golden hearts pounding in rhythmic sync with the humming of the computer's hidden voice. Among the antique music boxes, a violin stands upright, its varnished surface etched with faint, curved lines that seem to be singing an old, forgotten melody, as the spreadsheet, now a door, creaks open to reveal a narrow staircase leading down into a dimly lit, crystal-lined chandelier. The crystal-lined chandelier, a twisting, crystalline spiral, descends down the narrow staircase, refracting a kaleidoscope of colors that whisper ancient tales and forgotten knowledge, while the violin's soft singing harmonizes with the soft, green glow of lu",0.08109025439868013,0.21666666666666667,0.61922402507984,0.5,0.039452980218408214,0.13333333333333333,1.0,0.48333333333333334,1.0
